,province,city,county,communitys,_merge,level,date
0,江苏省,扬州市,邗江区,双桥街道虹桥社区柳湖北苑小区,removed,middle,2021-08-18
1,江苏省,扬州市,邗江区,双桥街道文扬社区紫金文昌小区,removed,middle,2021-08-18
2,江苏省,扬州市,邗江区,双桥街道文扬社区文华苑小区,removed,middle,2021-08-18
3,江苏省,扬州市,邗江区,双桥街道石桥社区念四二村小区,removed,middle,2021-08-18
4,山东省,烟台市,开发区,黄河路以西、长江路以北、沂河路以东、双美大厦配套路以南区域,removed,middle,2021-08-18
5,山东省,烟台市,开发区,国奥天地小区,removed,middle,2021-08-18
6,山东省,烟台市,开发区,海信天山郡小区,removed,middle,2021-08-18
7,河南省,郑州市,管城回族区,陇海马路街道海棠湾,removed,middle,2021-08-18
8,河南省,郑州市,管城回族区,航海东路街道芦邢庄花苑,removed,middle,2021-08-18
9,河南省,郑州市,管城回族区,航海东路街道正商蓝钻,removed,middle,2021-08-18
10,河南省,郑州市,金水区,东风路街道豫馨苑,removed,middle,2021-08-18
11,河南省,郑州市,金水区,丰庆路街道普罗旺世,removed,middle,2021-08-18
12,河南省,郑州市,新密市,白寨镇三岔口村,removed,middle,2021-08-18
13,河南省,驻马店市,西平县,柏城街道办事处东关社区新洪路一巷,removed,middle,2021-08-18
14,河南省,驻马店市,遂平县,灈阳街道金山社区滨河小区A1区,removed,middle,2021-08-18
15,河南省,驻马店市,遂平县,灈阳街道魏家胡同三巷以南、小魏庄中心路以东、魏家胡同五巷以北、金山路南段以西合围区域,removed,middle,2021-08-18
16,上海市,上海市,松江区,永丰街道仓丰路855号（有庐公寓）,new,middle,2021-08-18
17,江苏省,扬州市,邗江区,甘泉街道,new,middle,2021-08-18
18,江苏省,扬州市,邗江区,维扬经济开发区荷叶东路2号,new,middle,2021-08-18
19,江苏省,扬州市,邗江区,方巷镇朝阳路31号,new,middle,2021-08-18
20,江苏省,扬州市,邗江区,方巷镇裔家村,new,middle,2021-08-18
